Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
BA12 0PT,51.146198,-1.993145,400576,138548,SU005385,1980-01-01 00:00:00,
BA12 0PU,51.157708,-1.998606,400194,139828,SU001398,1980-01-01 00:00:00,
BA12 0PY,51.148464,-2.005054,399743,138800,ST997388,1980-01-01 00:00:00,
BA12 0PZ,51.145902,-2.000622,400053,138515,SU000385,1980-01-01 00:00:00,
BA12 0QA,51.145433,-1.988642,400891,138463,SU008384,1980-01-01 00:00:00,
BA12 0QB,51.147204,-1.979421,401536,138660,SU015386,1993-08-01 00:00:00,
BA12 0QD,51.142141,-1.978666,401589,138097,SU015380,1993-08-01 00:00:00,
BA12 0QE,51.139909,-1.969833,402207,137849,SU022378,1999-06-01 00:00:00,
BA12 0QF,51.140107,-1.97009,402189,137871,SU021378,1980-01-01 00:00:00,
BA12 0QG,51.143967,-1.985655,401100,138300,SU011383,1980-01-01 00:00:00,1991-12-01 00:00:00
BA12 0QH,51.15116,-1.978504,401600,139100,SU016391,1980-01-01 00:00:00,1990-12-01 00:00:00
BA12 0QJ,51.137934,-1.989116,400858,137629,SU008376,1985-10-01 00:00:00,
BA12 0QL,51.145424,-1.986469,401043,138462,SU010384,1980-01-01 00:00:00,
BA12 0QN,51.138753,-1.990616,400753,137720,SU007377,1980-01-01 00:00:00,
BA12 0QP,51.13931,-1.990002,400796,137782,SU007377,1980-01-01 00:00:00,
BA12 0QQ,51.143724,-1.98454,401178,138273,SU011382,1980-01-01 00:00:00,
BA12 0QR,51.138339,-1.990345,400772,137674,SU007376,1980-01-01 00:00:00,
BA12 0QS,51.137889,-1.990459,400764,137624,SU007376,1980-01-01 00:00:00,
BA12 0QT,51.137377,-1.99146,400694,137567,SU006375,1980-01-01 00:00:00,
BA12 0QU,51.139877,-1.991274,400707,137845,SU007378,1980-01-01 00:00:00,
BA12 0QW,51.138564,-1.990702,400747,137699,SU007376,1980-01-01 00:00:00,
BA12 0QX,51.137529,-1.987672,400959,137584,SU009375,1980-01-01 00:00:00,
BA12 0QY,51.138114,-1.988058,400932,137649,SU009376,1980-01-01 00:00:00,
BA12 0QZ,51.138375,-1.98943,400836,137678,SU008376,1980-01-01 00:00:00,
BA12 0RA,51.136423,-1.988401,400908,137461,SU009374,1995-12-01 00:00:00,
BA12 0RB,51.12557,-1.986246,401059,136254,SU010362,1980-01-01 00:00:00,
BA12 0RD,51.135983,-1.989774,400812,137412,SU008374,1980-01-01 00:00:00,
BA12 0RE,51.136351,-1.987887,400944,137453,SU009374,1980-01-01 00:00:00,
BA12 0RF,51.136756,-1.985914,401082,137498,SU010374,1980-01-01 00:00:00,
BA12 0RG,51.137242,-1.988315,400914,137552,SU009375,1980-01-01 00:00:00,
BA12 0RH,51.1369,-1.989673,400819,137514,SU008375,1980-01-01 00:00:00,
BA12 0RJ,51.135892,-1.982756,401303,137402,SU013374,1980-01-01 00:00:00,
BA12 0RL,51.136073,-1.99026,400778,137422,SU007374,1980-01-01 00:00:00,
BA12 0RN,51.138483,-1.99116,400715,137690,SU007376,1980-01-01 00:00:00,
BA12 0RP,51.137215,-1.992432,400626,137549,SU006375,1980-01-01 00:00:00,
BA12 0RQ,51.137395,-1.98943,400836,137569,SU008375,1980-01-01 00:00:00,
BA12 0RR,51.145514,-1.989386,400839,138472,SU008384,1980-01-01 00:00:00,
BA12 0RS,51.135883,-1.981312,401404,137401,SU014374,1980-01-01 00:00:00,
BA12 0RT,51.136252,-1.987244,400989,137442,SU009374,1995-12-01 00:00:00,
BA12 0RU,51.136549,-1.98763,400962,137475,SU009374,2004-11-01 00:00:00,
BA12 0RW,51.137871,-1.991374,400700,137622,SU007376,1980-01-01 00:00:00,
BA12 0RY,51.137683,-1.995019,400445,137601,SU004376,1980-01-01 00:00:00,
BA12 0RZ,51.137539,-1.993933,400521,137585,SU005375,1980-01-01 00:00:00,
SO5 0FU,51.00841,-1.60228,428000,123300,SU280233,1980-01-01 00:00:00,1985-12-01 00:00:00
SO51 6FT,51.012779,-1.609898,427463,123783,SU274237,1986-01-01 00:00:00,
SO51 6FU,51.00922,-1.60243,427989,123390,SU279233,1986-01-01 00:00:00,
SP1 1AA,51.070568,-1.795797,414404,130157,SU144301,1990-02-01 00:00:00,2013-08-01 00:00:00
SP1 1AB,51.070568,-1.795797,414404,130157,SU144301,1988-03-01 00:00:00,
SP1 1AD,51.074305,-1.769588,416239,130578,SU162305,2008-03-01 00:00:00,
SP1 1AF,51.073993,-1.77106,416136,130543,SU161305,2008-04-01 00:00:00,
SP1 1BA,51.069374,-1.797158,414309,130024,SU143300,1980-01-01 00:00:00,
SP1 1BB,51.070101,-1.79627,414371,130105,SU143301,1980-01-01 00:00:00,
SP1 1BD,51.069438,-1.797857,414260,130031,SU142300,1986-07-01 00:00:00,
SP1 1BE,51.073657,-1.798695,414200,130500,SU142305,1980-01-01 00:00:00,1982-12-01 00:00:00
SP1 1BG,51.070378,-1.795284,414440,130136,SU144301,1980-01-01 00:00:00,
SP1 1BH,51.070055,-1.795856,414400,130100,SU144301,1980-01-01 00:00:00,1990-12-01 00:00:00
SP1 1BL,51.069832,-1.797084,414314,130075,SU143300,1980-01-01 00:00:00,
SP1 1BN,51.071054,-1.796037,414387,130211,SU143302,1980-01-01 00:00:00,
SP1 1BP,51.070055,-1.795856,414400,130100,SU144301,1980-01-01 00:00:00,1995-01-01 00:00:00
SP1 1BQ,51.070369,-1.795298,414439,130135,SU144301,1980-01-01 00:00:00,1998-06-01 00:00:00
SP1 1BT,51.069644,-1.797271,414301,130054,SU143300,1995-07-01 00:00:00,
SP1 1BW,51.070641,-1.796638,414345,130165,SU143301,1993-01-01 00:00:00,2001-07-01 00:00:00
SP1 1BX,51.066456,-1.794445,414500,129700,SU145297,1986-04-01 00:00:00,1990-12-01 00:00:00
SP1 1BZ,51.068257,-1.795864,414400,129900,SU144299,1993-01-01 00:00:00,1994-12-01 00:00:00
SP1 1DA,51.070082,-1.795656,414414,130103,SU144301,1980-01-01 00:00:00,
SP1 1DB,51.071255,-1.803601,413857,130232,SU138302,1980-01-01 00:00:00,
SP1 1DE,51.070072,-1.795285,414440,130102,SU144301,1980-01-01 00:00:00,
SP1 1DF,51.069873,-1.794772,414476,130080,SU144300,1980-01-01 00:00:00,
SP1 1DH,51.069828,-1.794558,414491,130075,SU144300,1980-01-01 00:00:00,2009-02-01 00:00:00
SP1 1DL,51.069972,-1.794529,414493,130091,SU144300,1980-01-01 00:00:00,
SP1 1DN,51.070055,-1.795856,414400,130100,SU144301,1991-09-01 00:00:00,1996-06-01 00:00:00
SP1 1DP,51.070943,-1.794468,414497,130199,SU144301,1980-01-01 00:00:00,
SP1 1DR,51.071141,-1.794324,414507,130221,SU145302,1980-01-01 00:00:00,2011-01-01 00:00:00
SP1 1DS,51.070055,-1.795856,414400,130100,SU144301,1980-01-01 00:00:00,1995-01-01 00:00:00
SP1 1DT,51.070717,-1.793941,414534,130174,SU145301,1980-01-01 00:00:00,
SP1 1DU,51.070573,-1.793784,414545,130158,SU145301,1980-01-01 00:00:00,
SP1 1DW,51.069953,-1.794115,414522,130089,SU145300,1980-01-01 00:00:00,2014-08-01 00:00:00
SP1 1DX,51.070024,-1.793244,414583,130097,SU145300,1980-01-01 00:00:00,
SP1 1DY,51.070203,-1.792901,414607,130117,SU146301,1985-04-01 00:00:00,
SP1 1DZ,51.070188,-1.794899,414467,130115,SU144301,2000-12-01 00:00:00,
SP1 1EA,51.070053,-1.794429,414500,130100,SU145301,1980-01-01 00:00:00,1995-01-01 00:00:00
SP1 1EB,51.070024,-1.793244,414583,130097,SU145300,1991-09-01 00:00:00,1999-12-01 00:00:00
SP1 1ED,51.071112,-1.793397,414572,130218,SU145302,1980-01-01 00:00:00,
SP1 1EE,51.070751,-1.792499,414635,130178,SU146301,1980-01-01 00:00:00,
SP1 1EF,51.070003,-1.792003,414670,130095,SU146300,1980-01-01 00:00:00,
SP1 1EG,51.071037,-1.791641,414695,130210,SU146302,1980-01-01 00:00:00,
SP1 1EH,51.07005,-1.793002,414600,130100,SU146301,1980-01-01 00:00:00,1994-05-01 00:00:00
SP1 1EJ,51.068974,-1.794562,414491,129980,SU144299,1980-01-01 00:00:00,
SP1 1EL,51.06935,-1.793618,414557,130022,SU145300,1992-01-01 00:00:00,
SP1 1EN,51.068252,-1.79301,414600,129900,SU146299,1980-01-01 00:00:00,1996-06-01 00:00:00
SP1 1EP,51.068885,-1.795248,414443,129970,SU144299,1985-10-01 00:00:00,
SP1 1EQ,51.071262,-1.792111,414662,130235,SU146302,1980-01-01 00:00:00,
SP1 1ER,51.069816,-1.792917,414606,130074,SU146300,1990-02-01 00:00:00,
SP1 1ES,51.068257,-1.795864,414400,129900,SU144299,1980-01-01 00:00:00,1991-12-01 00:00:00
SP1 1ET,51.068257,-1.795864,414400,129900,SU144299,1980-01-01 00:00:00,1994-05-01 00:00:00
