Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
AB3 9HR,57.278719,-3.458882,312140,821840,NJ121218,1978-09-01 00:00:00,1990-08-01 00:00:00
AB37 9HR,57.278151,-3.459059,312128,821777,NJ121217,1990-08-01 00:00:00,
IV1 1AA,57.481338,-4.223951,266758,845637,NH667456,1980-01-01 00:00:00,
IV1 1AB,57.479248,-4.226794,266580,845410,NH665454,1980-01-01 00:00:00,1995-12-01 00:00:00
IV1 1AD,57.487278,-4.225931,266661,846302,NH666463,1992-07-01 00:00:00,
IV1 1AE,57.491831,-4.231198,266362,846819,NH663468,2006-07-01 00:00:00,2010-08-01 00:00:00
IV1 1AU,57.489638,-4.225124,266718,846563,NH667465,1997-06-01 00:00:00,
IV1 1AW,57.479409,-4.22632,266609,845427,NH666454,1993-05-01 00:00:00,2002-07-01 00:00:00
IV1 1AX,57.479409,-4.22632,266609,845427,NH666454,1995-12-01 00:00:00,
IV1 1AZ,57.479622,-4.225982,266630,845450,NH666454,1990-12-01 00:00:00,1994-12-01 00:00:00
IV1 1BA,57.480432,-4.229468,266424,845547,NH664455,1999-06-01 00:00:00,
IV1 1BB,57.480102,-4.226779,266584,845505,NH665455,1980-01-01 00:00:00,2005-08-01 00:00:00
IV1 1BD,57.489224,-4.231739,266320,846530,NH663465,1992-02-01 00:00:00,1998-12-01 00:00:00
IV1 1BG,57.489224,-4.231756,266319,846530,NH663465,1994-02-01 00:00:00,1998-06-01 00:00:00
IV1 1DA,57.479657,-4.226051,266626,845454,NH666454,1980-01-01 00:00:00,
IV1 1DB,57.479622,-4.225982,266630,845450,NH666454,1973-08-01 00:00:00,1992-07-01 00:00:00
IV1 1DD,57.481338,-4.223951,266758,845637,NH667456,1980-01-01 00:00:00,2001-08-01 00:00:00
IV1 1DE,57.479416,-4.225419,266663,845426,NH666454,1980-01-01 00:00:00,
IV1 1DF,57.479156,-4.225921,266632,845398,NH666453,1980-01-01 00:00:00,
IV1 1DG,57.479066,-4.226416,266602,845389,NH666453,1980-01-01 00:00:00,
IV1 1DH,57.481338,-4.223951,266758,845637,NH667456,1980-01-01 00:00:00,
IV1 1DJ,57.479311,-4.226797,266580,845417,NH665454,1980-01-01 00:00:00,
IV1 1DL,57.479248,-4.226794,266580,845410,NH665454,1980-01-01 00:00:00,1995-02-01 00:00:00
IV1 1DN,57.479617,-4.226783,266582,845451,NH665454,1980-01-01 00:00:00,
IV1 1DP,57.478793,-4.227133,266558,845360,NH665453,1980-01-01 00:00:00,
IV1 1DQ,57.479078,-4.226283,266610,845390,NH666453,1973-08-01 00:00:00,1992-07-01 00:00:00
IV1 1DR,57.478591,-4.22687,266573,845337,NH665453,1980-01-01 00:00:00,
IV1 1DS,57.481338,-4.223951,266758,845637,NH667456,1992-10-01 00:00:00,2004-08-01 00:00:00
IV1 1DT,57.478255,-4.227067,266560,845300,NH665453,1980-01-01 00:00:00,1997-06-01 00:00:00
IV1 1DU,57.478255,-4.227067,266560,845300,NH665453,1980-01-01 00:00:00,1995-12-01 00:00:00
IV1 1DW,57.478793,-4.227133,266558,845360,NH665453,1980-01-01 00:00:00,
IV1 1DX,57.478298,-4.226669,266584,845304,NH665453,1992-07-01 00:00:00,
IV1 1DY,57.477745,-4.225918,266627,845241,NH666452,1980-01-01 00:00:00,
IV1 1DZ,57.477745,-4.225918,266627,845241,NH666452,1980-01-01 00:00:00,
IV1 1EA,57.477951,-4.22543,266657,845263,NH666452,1980-01-01 00:00:00,
IV1 1EB,57.478198,-4.225695,266642,845291,NH666452,1980-01-01 00:00:00,
IV1 1ED,57.478198,-4.225695,266642,845291,NH666452,1999-06-01 00:00:00,
IV1 1EE,57.478802,-4.2266,266590,845360,NH665453,1973-08-01 00:00:00,1992-07-01 00:00:00
IV1 1EF,57.477951,-4.22543,266657,845263,NH666452,1981-07-01 00:00:00,1992-07-01 00:00:00
IV1 1EG,57.47871,-4.226244,266611,845349,NH666453,2007-06-01 00:00:00,2007-07-01 00:00:00
IV1 1EH,57.47893,-4.226491,266597,845374,NH665453,1980-01-01 00:00:00,
IV1 1EJ,57.479311,-4.226797,266580,845417,NH665454,1980-01-01 00:00:00,
