Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
SA34 0TY,51.94205,-4.641797,218512,230358,SN185303,1980-01-01 00:00:00,
SA34 0UA,51.93515,-4.643123,218393,229594,SN183295,1980-01-01 00:00:00,
SA34 0UB,51.943835,-4.636402,218890,230543,SN188305,1980-01-01 00:00:00,
SA34 0UD,51.935938,-4.66041,217208,229725,SN172297,1980-01-01 00:00:00,
SA34 0UE,51.929205,-4.651516,217792,228954,SN177289,1980-01-01 00:00:00,
SA34 0XU,51.922822,-4.649453,217908,228239,SN179282,1980-01-01 00:00:00,
SA34 0XY,51.926261,-4.63204,219119,228578,SN191285,1980-01-01 00:00:00,
SA34 0YD,51.930095,-4.629515,219308,228998,SN193289,1980-01-01 00:00:00,
SA34 0YE,51.929173,-4.631323,219180,228900,SN191289,1980-01-01 00:00:00,
SA34 0YG,51.931202,-4.633886,219012,229132,SN190291,1980-01-01 00:00:00,
SA34 0YH,51.937696,-4.636667,218847,229861,SN188298,1980-01-01 00:00:00,
SA34 0YJ,51.926945,-4.642844,218379,228681,SN183286,1980-01-01 00:00:00,
SA34 0YQ,51.934453,-4.63527,218930,229497,SN189294,2001-12-01 00:00:00,2003-06-01 00:00:00
SA35 0AA,51.984282,-4.494196,228817,234696,SN288346,1980-01-01 00:00:00,
SA35 0AB,51.977103,-4.502374,228228,233917,SN282339,1980-01-01 00:00:00,
SA35 0AD,51.967456,-4.495095,228691,232827,SN286328,1980-01-01 00:00:00,
SA35 0AE,51.968397,-4.509212,227725,232965,SN277329,1980-01-01 00:00:00,
SA35 0AG,51.96241,-4.518776,227045,232322,SN270323,1980-01-01 00:00:00,
SA35 0AH,51.968471,-4.544275,225317,233057,SN253330,1980-01-01 00:00:00,
SA35 0AJ,51.962857,-4.541467,225488,232426,SN254324,1980-01-01 00:00:00,
SA35 0AL,51.971787,-4.543968,225351,233425,SN253334,1980-01-01 00:00:00,
SA35 0AN,51.981659,-4.553222,224754,234545,SN247345,1980-01-01 00:00:00,
SA35 0AP,51.990258,-4.564315,224026,235528,SN240355,1980-01-01 00:00:00,
SA35 0AQ,51.967693,-4.52989,226302,232936,SN263329,1980-01-01 00:00:00,
SA35 0AR,51.98917,-4.551479,224903,235376,SN249353,1980-01-01 00:00:00,
SA35 0AS,51.974056,-4.529652,226343,233643,SN263336,1980-01-01 00:00:00,
SA35 0AT,51.982067,-4.525967,226627,234525,SN266345,1980-01-01 00:00:00,
SA35 0AU,51.99034,-4.532696,226197,235461,SN261354,1980-01-01 00:00:00,
SA35 0AW,51.985288,-4.557142,224499,234958,SN244349,1980-01-01 00:00:00,
SA35 0AX,51.993421,-4.517779,227233,235768,SN272357,1980-01-01 00:00:00,
SA35 0BA,51.953532,-4.582769,222614,231489,SN226314,1980-01-01 00:00:00,
SA35 0BB,51.956469,-4.582502,222644,231815,SN226318,1980-01-01 00:00:00,
SA35 0BD,51.967994,-4.583092,222649,233098,SN226330,1980-01-01 00:00:00,
SA35 0BE,51.967044,-4.575961,223135,232975,SN231329,1980-01-01 00:00:00,
SA35 0BG,51.960162,-4.576484,223072,232211,SN230322,1980-01-01 00:00:00,
SA35 0BH,51.964653,-4.555312,224544,232659,SN245326,1980-01-01 00:00:00,
SA35 0BJ,51.965304,-4.574129,223254,232777,SN232327,1980-01-01 00:00:00,
SA35 0BL,51.969616,-4.581307,222778,233274,SN227332,1980-01-01 00:00:00,
SA35 0BN,51.9778,-4.589073,222277,234203,SN222342,1980-01-01 00:00:00,
SA35 0BP,51.985507,-4.566068,223887,235004,SN238350,1980-01-01 00:00:00,
SA35 0BQ,51.962193,-4.557996,224350,232392,SN243323,1980-01-01 00:00:00,
SA35 0BS,51.974379,-4.577751,223041,233795,SN230337,1980-01-01 00:00:00,
SA35 0BT,51.970824,-4.565127,223894,233369,SN238333,1980-01-01 00:00:00,
SA35 0BY,51.950959,-4.57338,223249,231180,SN232311,1980-01-01 00:00:00,
SA35 0BZ,51.951417,-4.585675,222406,231261,SN224312,1980-01-01 00:00:00,
SA35 0DA,51.945454,-4.60246,221229,230639,SN212306,1980-01-01 00:00:00,
SA35 0DB,51.953332,-4.550272,224846,231388,SN248313,1980-01-01 00:00:00,
SA35 0DG,51.932482,-4.585488,222344,229155,SN223291,1980-01-01 00:00:00,
SA35 0DN,51.989233,-4.578677,223036,235449,SN230354,1980-01-01 00:00:00,
SA35 0DP,51.995198,-4.56336,224111,236075,SN241360,1980-01-01 00:00:00,
SA35 0DQ,51.947054,-4.586996,222298,230779,SN222307,1980-01-01 00:00:00,
SA35 0DW,51.993409,-4.574023,223372,235902,SN233359,1980-01-01 00:00:00,
SA35 0YN,51.970824,-4.565127,223894,233369,SN238333,1998-06-01 00:00:00,1999-06-01 00:00:00
SA36 0DS,51.956521,-4.60706,220957,231881,SN209318,1980-01-01 00:00:00,
SA36 0DT,51.956233,-4.610726,220704,231858,SN207318,1980-01-01 00:00:00,
SA36 0DU,51.955916,-4.614055,220474,231831,SN204318,1980-01-01 00:00:00,
SA36 0DX,51.957075,-4.61453,220446,231961,SN204319,1980-01-01 00:00:00,
SA36 0DY,51.951974,-4.627114,219561,231425,SN195314,1980-01-01 00:00:00,
SA36 0DZ,51.953862,-4.619495,220092,231616,SN200316,1980-01-01 00:00:00,
SA36 0EA,51.956172,-4.615089,220404,231862,SN204318,2005-02-01 00:00:00,
SA36 0EB,51.955408,-4.61388,220484,231774,SN204317,1993-08-01 00:00:00,
SA36 0ED,51.962048,-4.596244,221722,232469,SN217324,1980-01-01 00:00:00,
SA36 0EE,51.966118,-4.588676,222258,232903,SN222329,1980-01-01 00:00:00,
SA36 0EF,51.964549,-4.588033,222296,232727,SN222327,1980-01-01 00:00:00,
SA37 0EB,52.025497,-4.582572,222912,239491,SN229394,2009-04-01 00:00:00,2009-08-01 00:00:00
SA37 0EH,52.025497,-4.582572,222912,239491,SN229394,1980-01-01 00:00:00,
SA37 0EJ,52.021084,-4.582492,222900,239000,SN229390,1980-01-01 00:00:00,1998-06-01 00:00:00
SA37 0EL,52.011989,-4.578937,223108,237980,SN231379,1980-01-01 00:00:00,
SA37 0EN,52.021406,-4.601752,221580,239083,SN215390,1980-01-01 00:00:00,
SA37 0EP,52.016851,-4.605627,221296,238586,SN212385,1980-01-01 00:00:00,
SA37 0ER,52.026029,-4.605403,221348,239606,SN213396,1980-01-01 00:00:00,
SA37 0ES,52.031319,-4.588171,222551,240152,SN225401,1980-01-01 00:00:00,
SA37 0ET,52.04017,-4.578649,223239,241113,SN232411,1980-01-01 00:00:00,
SA37 0EU,52.045624,-4.566479,224095,241690,SN240416,1980-01-01 00:00:00,
SA37 0EW,52.021439,-4.590063,222382,239058,SN223390,1980-01-01 00:00:00,
SA37 0EX,52.04001,-4.557102,224716,241043,SN247410,1980-01-01 00:00:00,
SA37 0EY,52.038027,-4.554436,224891,240816,SN248408,1980-01-01 00:00:00,
SA37 0EZ,52.037234,-4.553677,224940,240726,SN249407,1980-01-01 00:00:00,
SA37 0HA,52.034063,-4.552257,225025,240370,SN250403,1980-01-01 00:00:00,
SA37 0HB,52.032384,-4.552977,224969,240185,SN249401,1980-01-01 00:00:00,
SA37 0HD,52.031534,-4.554022,224894,240093,SN248400,1980-01-01 00:00:00,
SA37 0HE,52.032881,-4.557817,224639,240252,SN246402,1980-01-01 00:00:00,
SA37 0HF,52.028307,-4.56346,224234,239757,SN242397,1980-01-01 00:00:00,
SA37 0HG,52.024639,-4.574956,223431,239377,SN234393,1980-01-01 00:00:00,
SA37 0HH,52.033293,-4.573573,223560,240336,SN235403,1980-01-01 00:00:00,
SA37 0HJ,52.02951,-4.551545,225056,239862,SN250398,1980-01-01 00:00:00,
SA37 0HL,52.031514,-4.553686,224917,240090,SN249400,1980-01-01 00:00:00,
SA37 0HN,51.997484,-4.639365,218903,236516,SN189365,1994-05-01 00:00:00,2000-11-01 00:00:00
SA37 0HP,52.003221,-4.63979,218897,237155,SN188371,1990-07-01 00:00:00,
SA37 0HQ,52.015293,-4.562716,224234,238308,SN242383,1980-01-01 00:00:00,
SA37 0HR,52.014034,-4.622734,220111,238315,SN201383,1980-01-01 00:00:00,
SA37 0HS,52.021852,-4.623775,220071,239187,SN200391,1980-01-01 00:00:00,
SA37 0HT,52.010804,-4.636462,219156,237990,SN191379,1980-01-01 00:00:00,
SA37 0HU,52.002868,-4.637453,219056,237110,SN190371,1980-01-01 00:00:00,
SA37 0HW,52.001038,-4.639662,218897,236912,SN188369,1990-07-01 00:00:00,
SA37 0HX,52.002555,-4.646191,218455,237097,SN184370,1980-01-01 00:00:00,
SA37 0HY,51.998702,-4.638796,218947,236650,SN189366,1980-01-01 00:00:00,
SA37 0HZ,51.989186,-4.639227,218879,235593,SN188355,1980-01-01 00:00:00,
SA37 0JA,52.001324,-4.662933,217301,237002,SN173370,1980-01-01 00:00:00,
SA37 0JB,52.002323,-4.670438,216790,237132,SN167371,1980-01-01 00:00:00,
SA37 0JD,52.003062,-4.682634,215956,237245,SN159372,1980-01-01 00:00:00,
SA37 0JE,52.00993,-4.665703,217146,237966,SN171379,1980-01-01 00:00:00,
SA37 0JF,52.017303,-4.650225,218238,238747,SN182387,1980-01-01 00:00:00,
SA37 0JG,52.008048,-4.623768,220016,237652,SN200376,1980-01-01 00:00:00,
SA37 0JH,51.997484,-4.639365,218903,236516,SN189365,2000-06-01 00:00:00,
SA37 0JL,52.014923,-4.614697,220666,238394,SN206383,1980-01-01 00:00:00,
SA37 0JN,52.014615,-4.617652,220462,238367,SN204383,1980-01-01 00:00:00,
SA37 0JP,52.013397,-4.61659,220530,238229,SN205382,1980-01-01 00:00:00,
SA37 0JR,52.006817,-4.603062,221432,237464,SN214374,1980-01-01 00:00:00,
SA37 0JS,51.993117,-4.597969,221727,235928,SN217359,1980-01-01 00:00:00,
SA37 0JT,51.99148,-4.584502,222645,235713,SN226357,1980-01-01 00:00:00,
SA37 0JU,52.001785,-4.553216,224833,236783,SN248367,1980-01-01 00:00:00,
SA37 0JW,52.015948,-4.619144,220365,238519,SN203385,1980-01-01 00:00:00,
SA37 0JX,52.006794,-4.555265,224712,237345,SN247373,1980-01-01 00:00:00,
SA37 0JY,52.001903,-4.566395,223929,236828,SN239368,1980-01-01 00:00:00,
SA37 0JZ,51.998846,-4.579143,223042,236519,SN230365,1980-01-01 00:00:00,
SA37 0LA,52.006964,-4.614306,220661,237508,SN206375,1980-01-01 00:00:00,
SA37 0LJ,52.016895,-4.541047,225727,238434,SN257384,1980-01-01 00:00:00,
